start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
12.190.164.176,12.190.164.191,12.190.0.0,IHGCO ATT,hotelequities.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.229.71.248,12.229.71.255,12.229.0.0,TRILOGY HEALTH SERVICES,trilogyhs.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.53.51.102,122.53.51.102,122.53.0.0,SMEDSL2022051934050_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.228.163.8,122.228.163.15,122.228.0.0,Wenzhou Xiangyu middle school,hz.zj.cn,education,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp,CN
117.239.196.192,117.239.196.199,117.239.0.0,ZILA PANCHAYAT,sancharnet.in,isp,AS9829,National Internet Backbone,bsnl.co.in,isp,IN
108.81.255.192,108.81.255.199,108.81.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.107.41.40,124.107.41.47,124.107.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
107.191.104.235,107.191.104.235,107.191.0.0,Updraft Software Engineering Services,updraft.ph,business,AS3842,"InMotion Hosting, Inc.",inmotionhosting.com,hosting,PH
12.152.82.160,12.152.82.167,12.152.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.233.159.96,12.233.159.111,12.233.0.0,THE QUIKRETE COMPANIES,quikrete.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.208.62.112,122.208.62.231,122.208.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.69.198.48,12.69.198.63,12.69.0.0,BCN TELECOM INC-DWYER INSTRUM,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.65.52.104,108.65.52.111,108.65.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
113.34.104.24,113.34.104.47,113.34.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
104.244.85.164,104.244.85.167,104.244.0.0,Ameritech College,ameritechcollege.com,education,AS13415,"FirstDigital Communications, LLC",firstdigital.com,isp,US
103.23.105.0,103.23.105.255,103.23.0.0,My Broadband,simtronic.com.au,isp,AS55707,Simtronic,simtronic.com.au,isp,AU
